,transit
1354,2987
1355,2389
1356,2596
1357,589
1358,433
1359,1246
1360,3225
1361,0
1362,3319
1363,3466
1364,4916
1365,3610
1366,3336
1367,2797
1368,3157
1369,2520
1370,2375
1371,2257
1372,1098
1373,1755
1374,1806
1375,2150
1376,5320
1377,1743
1378,2062
1379,5010
1380,2142
1381,4363
1382,4718
1383,2572
1384,2640
1385,5334
1386,5047
1387,4915
1388,5835
1389,5246
1390,5178
1391,5822
1392,2761
1393,5480
1394,7026
1395,6085
1396,5132
1397,4173
1398,4208
1399,3873
1400,6504
1401,4754
1402,5692
1403,6552
1404,3734
1405,4909
1406,5135
1407,4650
1408,5060
1409,5510
1410,4078
1411,5450
1412,3899
1413,0
1414,6917
1415,6603
1416,6521
1417,3655
1418,5043
1419,5139
1420,6904
1421,1827
1422,1969
1423,5653
1424,7274
1425,5873
1426,5691
1427,2450
1428,2420
1429,2452
1430,6189
1431,5371
1432,7186
1433,6752
1434,2852
1435,3747
1436,3819
1437,3779
1438,7193
1439,0
1440,5422
1441,4721
1442,4818
1443,3384
1444,5104
1445,4447
1446,5991
1447,4645
1448,3825
1449,3900
1450,3704
1451,6000
1452,6597
1453,6137
1454,5849
1455,6037
1456,4519
1457,4721
1458,4631
1459,3876
1460,5339
1461,7685
1462,7727
1463,7721
1464,7440
1465,2387
1466,5271
1467,6291
1468,5074
1469,5944
1470,7177
1471,0
1472,7705
1473,0
1474,0
1475,5645
1476,4670
1477,6263
1478,2540
1479,5245
1480,2686
1481,5098
1482,1462
1483,4197
1484,2393
1485,4641
1486,2064
1487,1279
1488,3517
1489,1252
1490,2523
1491,3184
1492,3495
1493,4744
1494,6175
1495,2696
1496,2852
1497,3205
1498,3101
1499,5660
1500,3942
1501,4098
1502,1518
1503,2458
1504,4933
1505,2117
1506,4846
1507,2914
1508,5929
1509,5038
1510,2767
1511,5170
1512,7073
1513,4591
1514,2621
1515,6874
1516,6245
1517,5803
1518,5818
1519,2310
1520,6877
1521,6521
1522,5089
1523,5466
1524,5489
1525,5595
1526,1997
1527,4735
1528,2928
1529,3177
1530,1534
1531,2358
1532,5242
1533,5815
1534,3529
1535,4969
1536,4093
1537,2023
1538,3578
1539,3052
1540,6511
1541,3358
1542,4741
1543,3298
1544,5560
1545,1443
1546,3983
1547,2883
1548,1432
1549,1921
1550,1502
1551,1308
1552,1150
1553,2041
1554,2250
1555,2436
1556,2860
1557,2600
1558,1041
1559,1115
1560,799
1561,866
1562,1458
1563,1607
1564,1474
1565,1896
1566,2716
1567,4465
1568,4791
1569,2231
1570,2846
1571,4517
1572,2057
1573,1621
1574,1579
1575,1031
1576,963
1577,1330
1578,1562
1579,2555
1580,2691
1581,2864
1582,2290
1583,2007
1584,2315
1585,2164
1586,3196
1587,3369
1588,2873
1589,3806
1590,2703
1591,2003
1592,1546
1593,2108
1594,4286
1595,2341
1596,3810
1597,2674
1598,2294
1599,4730
1600,1739
1601,1927
1602,2946
1603,3053
1604,5157
1605,4231
1606,4480
1607,4159
1608,2357
1609,5035
1610,5817
1611,4027
1612,4467
1613,4175
1614,4599
1615,4215
1616,3437
1617,4936
1618,3621
1619,3391
1620,2170
1621,4981
1622,4186
1623,3426
1624,3617
1625,3998
1626,3975
1627,3381
1628,3375
1629,2750
1630,3381
1631,3834
1632,4713
1633,2450
1634,4431
1635,4546
1636,5023
1637,3694
1638,5370
1639,5019
1640,3554
1641,4886
1642,0
1643,3967
1644,2336
1645,3430
1646,4146
1647,2576
1648,2625
1649,3028
1650,5207
1651,1418
1652,2734
1653,4283
1654,4317
1655,2402
1656,3067
1657,5614
1658,4035
1659,5506
1660,4567
1661,5414
1662,7270
1663,4569
1664,3452
1665,4757
1666,5132
1667,3257
1668,4486
1669,4510
1670,3335
1671,6950
1672,5806
1673,320
1674,962
1675,422
1676,570
1677,718
1678,3918
1679,3652
1680,4584
1681,3834
1682,2214
1683,1583
1684,1264
1685,2569
1686,2134
1687,3214
1688,3490
1689,1961
1690,1312
1691,201
1692,185
1693,0
1694,419
1695,1222
1696,665
1697,830
1698,465
1699,1391
1700,817
1701,1185
1702,2026
1703,2218
1704,3486
1705,1279
1706,1746
1707,2008
1708,1778
1709,1406
1710,2387
1711,2695
1712,1423
1713,2653
1714,3246
1715,3079
1716,3886
1717,2044
1718,2081
1719,2910
1720,3575
1721,4176
1722,4092
1723,3976
1724,3354
1725,3603
1726,3486
1727,3815
1728,2685
1729,3592
1730,3875
1731,4224
1732,3862
1733,3172
1734,3728
1735,3961
1736,4079
1737,3445
1738,3753
1739,4036
1740,3461
1741,3851
1742,3794
1743,4545
1744,4381
1745,4322
1746,4194
1747,4569
1748,4098
1749,3699
1750,4214
1751,3292
1752,3574
1753,2726
1754,2954
1755,0
1756,3116
1757,3345
1758,3112
1759,2606
1760,2899
1761,2862
1762,1945
1763,2242
1764,3266
1765,3245
1766,2024
1767,3366
1768,2477
1769,3164
1770,1724
1771,2182
1772,2251
1773,3573
1774,4003
1775,4756
1776,4052
1777,4054
1778,3672
1779,3959
1780,4309
1781,4060
1782,4130
1783,4503
1784,4098
1785,3985
